resume_text,job_description,match_score
"Data Analyst skilled in Data Visualization, Tableau, Pandas, Business Analytics, Data Cleaning, Excel. Experienced in turning raw business data into actionable visual insights and automated reporting pipelines. Demonstrated track record with 5 years experience in fast-paced software environments.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Business Analytics, Pandas, Tableau, Data Cleaning, Power BI, KPI Reporting. Strong analytical mindset required. Minimum 5 years of industry experience required. Strong communication and problem solving skills.",89
"Data Analyst skilled in Business Analytics, Excel, Python, Data Visualization, Data Cleaning, Tableau, ETL, SQL, KPI Reporting, Pandas, Power BI. Experienced in turning raw business data into actionable visual insights and automated reporting pipelines. Demonstrated track record with 3 years experience in fast-paced software environments.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Excel, ETL, Business Analytics, Python, Data Cleaning, Data Visualization, Power BI, Tableau, Pandas. Strong analytical mindset required. Minimum 4 years of industry experience required. Strong communication and problem solving skills.",97
"Data Analyst skilled in ETL, SQL, Python, Tableau, Business Analytics, Power BI. Experienced in turning raw business data into actionable visual insights and automated reporting pipelines. Demonstrated track record with 5 years experience in fast-paced software environments.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Python, Power BI, Tableau, Business Analytics, Excel, KPI Reporting. Strong analytical mindset required. Minimum 5 years of industry experience required. Strong communication and problem solving skills.",83
"Data Analyst skilled in Business Analytics, ETL, SQL, Tableau, Power BI, Excel, Python, Data Cleaning, Pandas. Experienced in turning raw business data into actionable visual insights and automated reporting pipelines. Demonstrated track record with 5 years experience in fast-paced software environments.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Data Cleaning, Power BI, Pandas, Excel, SQL, Tableau, Business Analytics. Strong analytical mindset required. Minimum 2 years of industry experience required. Strong communication and problem solving skills.",84
"Professional with working background in Google Sheets, Reporting, Excel, ETL. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Tableau, ETL, Data Visualization, Data Cleaning, SQL, Business Analytics. Strong analytical mindset required. Requires proven experience in system scalability and enterprise data infrastructure.",63
"Professional with working background in Google Sheets, Basic SQL, Excel, Python, Data Visualization. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Data Visualization, KPI Reporting, Power BI, ETL, Data Cleaning, Excel, Python, SQL. Strong analytical mindset required. Requires proven experience in system scalability and enterprise data infrastructure.",69
"Professional with working background in Basic SQL, Excel, Reporting, SQL, Tableau. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Excel, Data Visualization, Data Cleaning, Tableau, Pandas, ETL, SQL. Strong analytical mindset required. Requires proven experience in system scalability and enterprise data infrastructure.",51
"Professional with working background in Excel, Basic SQL, Google Sheets, Data Cleaning. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Data Cleaning, Pandas, Python, SQL, Tableau, KPI Reporting, Business Analytics, Power BI. Strong analytical mindset required. Requires proven experience in system scalability and enterprise data infrastructure.",61
"Professional with working background in Reporting, Excel, Google Sheets, Pandas. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Pandas, Tableau, KPI Reporting, ETL, Business Analytics, Power BI, Data Cleaning, SQL. Strong analytical mindset required. Requires proven experience in system scalability and enterprise data infrastructure.",75
"Professional with working background in Reporting, Google Sheets, Excel, Pandas, Python, KPI Reporting. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using SQL, Pandas, Python, Data Cleaning, KPI Reporting, ETL. Strong analytical mindset required. Requires proven experience in system scalability and enterprise data infrastructure.",77
"Dedicated professional with rich experience in Clinical Records, Patient Care, Healthcare Admin, Nursing. Looking for new opportunities in collaborative team settings.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Business Analytics, Pandas, Python, Power BI, Data Cleaning, Tableau. Strong analytical mindset required. Advanced technical competencies in modern tech stacks are essential.",26
"Dedicated professional with rich experience in Clinical Records, Nursing, Patient Care, Healthcare Admin. Looking for new opportunities in collaborative team settings.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using KPI Reporting, Business Analytics, Pandas, Python, Data Cleaning, SQL. Strong analytical mindset required. Advanced technical competencies in modern tech stacks are essential.",23
"Dedicated professional with rich experience in Clinical Records, Nursing, Patient Care, Healthcare Admin. Looking for new opportunities in collaborative team settings.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Power BI, Business Analytics, Pandas, Python, Tableau, Excel, KPI Reporting. Strong analytical mindset required. Advanced technical competencies in modern tech stacks are essential.",33
"Dedicated professional with rich experience in Nursing, Healthcare Admin, Patient Care, Clinical Records. Looking for new opportunities in collaborative team settings.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Pandas, Data Visualization, Data Cleaning, Python, Business Analytics, SQL. Strong analytical mindset required. Advanced technical competencies in modern tech stacks are essential.",37
"Dedicated professional with rich experience in Patient Care, Nursing, Healthcare Admin, Clinical Records. Looking for new opportunities in collaborative team settings.","Seeking a Data Analyst to build executive dashboards and perform complex data queries using Business Analytics, Tableau, SQL, Data Visualization, Data Cleaning, Python, Excel, ETL. Strong analytical mindset required. Advanced technical competencies in modern tech stacks are essential.",28
"AI Engineer specializing in LangChain, Hugging Face, Vector Databases, Transformers, PyTorch, Docker, Python, FastAPI, RAG. Experienced in developing cutting-edge AI products, fine-tuning foundation models, and vector search systems. Demonstrated track record with 5 years experience in fast-paced software environments.","Hiring an AI Engineer with expertise in Docker, Python, Hugging Face, Vector Databases, FastAPI, RAG, Transformers, Deep Learning, Generative AI. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Minimum 4 years of industry experience required. Strong communication and problem solving skills.",85
"AI Engineer specializing in Vector Databases, RAG, Docker, LangChain, PyTorch, Transformers, Deep Learning, Hugging Face, Python. Experienced in developing cutting-edge AI products, fine-tuning foundation models, and vector search systems. Demonstrated track record with 4 years experience in fast-paced software environments.","Hiring an AI Engineer with expertise in Transformers, Docker, LangChain, Vector Databases, PyTorch, Python, RAG, Generative AI, FastAPI. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Minimum 4 years of industry experience required. Strong communication and problem solving skills.",87
"AI Engineer specializing in Deep Learning, Docker, Vector Databases, Transformers, Hugging Face, Python, FastAPI, Generative AI. Experienced in developing cutting-edge AI products, fine-tuning foundation models, and vector search systems. Demonstrated track record with 6 years experience in fast-paced software environments.","Hiring an AI Engineer with expertise in Transformers, Hugging Face, Deep Learning, Vector Databases, Python, Docker. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Minimum 5 years of industry experience required. Strong communication and problem solving skills.",94
"AI Engineer specializing in Deep Learning, Python, Generative AI, PyTorch, Vector Databases, LangChain, RAG, Docker, Transformers, Hugging Face. Experienced in developing cutting-edge AI products, fine-tuning foundation models, and vector search systems. Demonstrated track record with 4 years experience in fast-paced software environments.","Hiring an AI Engineer with expertise in Docker, PyTorch, Hugging Face, Generative AI, Vector Databases, Python, Transformers, LangChain, FastAPI. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Minimum 4 years of industry experience required. Strong communication and problem solving skills.",87
"AI Engineer specializing in PyTorch, Docker, FastAPI, RAG, Transformers, Generative AI, Deep Learning, LangChain. Experienced in developing cutting-edge AI products, fine-tuning foundation models, and vector search systems. Demonstrated track record with 3 years experience in fast-paced software environments.","Hiring an AI Engineer with expertise in FastAPI, LangChain, PyTorch, Docker, Deep Learning, Generative AI, Vector Databases, Hugging Face. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Minimum 2 years of industry experience required. Strong communication and problem solving skills.",83
"AI Engineer specializing in Deep Learning, Docker, Python, LangChain, RAG, Vector Databases, Transformers. Experienced in developing cutting-edge AI products, fine-tuning foundation models, and vector search systems. Demonstrated track record with 6 years experience in fast-paced software environments.","Hiring an AI Engineer with expertise in Deep Learning, Docker, LangChain, Transformers, RAG, FastAPI. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Minimum 3 years of industry experience required. Strong communication and problem solving skills.",97
"AI Engineer specializing in Hugging Face, Vector Databases, PyTorch, Transformers, Python, FastAPI, Docker, RAG. Experienced in developing cutting-edge AI products, fine-tuning foundation models, and vector search systems. Demonstrated track record with 5 years experience in fast-paced software environments.","Hiring an AI Engineer with expertise in Vector Databases, PyTorch, Python, Hugging Face, Transformers, RAG, Generative AI, LangChain. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Minimum 2 years of industry experience required. Strong communication and problem solving skills.",93
"Professional with working background in Scikit-Learn, Basic NLP, Pandas, Docker, Deep Learning. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Hiring an AI Engineer with expertise in Vector Databases, PyTorch, LangChain, Deep Learning, Docker, RAG. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Requires proven experience in system scalability and enterprise data infrastructure.",57
"Professional with working background in SQL, Basic NLP, Pandas, Transformers, Generative AI. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Hiring an AI Engineer with expertise in Generative AI, Docker, Deep Learning, Transformers, RAG, PyTorch. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Requires proven experience in system scalability and enterprise data infrastructure.",52
"Professional with working background in Scikit-Learn, Linear Regression, Pandas, Python, Hugging Face, Deep Learning. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Hiring an AI Engineer with expertise in FastAPI, Vector Databases, Transformers, Deep Learning, LangChain, Hugging Face, Python. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Requires proven experience in system scalability and enterprise data infrastructure.",59
"Professional with working background in Linear Regression, Scikit-Learn, Pandas, Hugging Face. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Hiring an AI Engineer with expertise in Python, PyTorch, RAG, Hugging Face, Vector Databases, Generative AI, FastAPI, Transformers. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Requires proven experience in system scalability and enterprise data infrastructure.",61
"Professional with working background in Pandas, Scikit-Learn, Basic NLP, Deep Learning, FastAPI. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Hiring an AI Engineer with expertise in LangChain, PyTorch, RAG, Vector Databases, FastAPI, Deep Learning, Hugging Face, Python. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Requires proven experience in system scalability and enterprise data infrastructure.",61
"Professional with working background in Scikit-Learn, Basic NLP, SQL, FastAPI, RAG, LangChain. Motivated to learn new frameworks and contribute to high-impact technical initiatives.","Hiring an AI Engineer with expertise in Transformers, Docker, FastAPI, RAG, LangChain, Python. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Requires proven experience in system scalability and enterprise data infrastructure.",54
"Dedicated professional with rich experience in Surveying, AutoCAD, Structural Design, Civil Engineering. Looking for new opportunities in collaborative team settings.","Hiring an AI Engineer with expertise in FastAPI, Hugging Face, Generative AI, Deep Learning, PyTorch, Transformers, LangChain, Docker. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Advanced technical competencies in modern tech stacks are essential.",35
"Dedicated professional with rich experience in Civil Engineering, Surveying, Structural Design, AutoCAD. Looking for new opportunities in collaborative team settings.","Hiring an AI Engineer with expertise in Generative AI, Deep Learning, PyTorch, RAG, LangChain, Hugging Face. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Advanced technical competencies in modern tech stacks are essential.",19
"Dedicated professional with rich experience in Structural Design, Surveying, Civil Engineering, AutoCAD. Looking for new opportunities in collaborative team settings.","Hiring an AI Engineer with expertise in Python, Docker, Vector Databases, Hugging Face, LangChain, Generative AI, RAG, Transformers. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Advanced technical competencies in modern tech stacks are essential.",12
"Dedicated professional with rich experience in Structural Design, AutoCAD, Surveying, Civil Engineering. Looking for new opportunities in collaborative team settings.","Hiring an AI Engineer with expertise in Python, Vector Databases, Generative AI, RAG, PyTorch, Transformers. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Advanced technical competencies in modern tech stacks are essential.",13
"Dedicated professional with rich experience in AutoCAD, Surveying, Structural Design, Civil Engineering. Looking for new opportunities in collaborative team settings.","Hiring an AI Engineer with expertise in Transformers, FastAPI, Generative AI, Vector Databases, LangChain, Deep Learning, Hugging Face, PyTorch. You will build advanced Generative AI and LLM solutions, multi-agent systems, and neural network architectures. Advanced technical competencies in modern tech stacks are essential.",21
"Accountant specializing in taxation, ledger reconciliations, payroll audits, and financial reporting.","Looking for a Machine Learning Engineer skilled in PyTorch, CUDA, distributed training, and model deployment on AWS.",8
"Elementary School Teacher with 5 years experience in lesson planning, classroom management, student assessment, and parent communication.","Seeking a Full Stack Software Engineer proficient in React, Node.js, TypeScript, PostgreSQL, and Docker.",4
"Civil Site Engineer experienced in concrete casting, structural load tests, AutoCAD blueprints, and construction site management.","Wanted: Data Scientist with expertise in NLP, Python, Scikit-learn, PyTorch, and exploratory data analysis.",11
"Legal Assistant with experience in contract review, case filing, legal research (LexisNexis), document discovery, and litigation support.","Seeking a Python Backend Developer proficient in Django, FastAPI, Celery, Redis, and PostgreSQL.",6
"Fitness Trainer and Nutritionist specializing in customized strength routines, meal planning, cardiovascular conditioning, and client motivation.","Looking for an AI Engineer experienced in LangChain, OpenAI APIs, vector databases, and PyTorch deep learning models.",5
"Supply Chain Coordinator with SAP ERP, inventory tracking, freight negotiation, customs clearance, and purchase orders.","Hiring a Web Developer with strong skills in React, Next.js, TypeScript, Tailwind CSS, and REST APIs.",9
"Automotive Technician skilled in engine diagnostics, brake replacements, electrical circuit repairs, and vehicle maintenance.","Wanted: Senior Data Analyst proficient in SQL, Tableau, Power BI, Python, and ETL data pipelines.",7
"Real Estate Agent with experience in property sales, market valuation, client negotiation, MLS listings, and open house management.","Seeking a Machine Learning Engineer with expertise in TensorFlow, Scikit-learn, MLOps, Docker, and Kubernetes.",5
"Executive Chef with 10 years experience in menu engineering, culinary prep, kitchen brigade management, food cost control, and food safety standards.","Python Developer required for high-throughput microservices using AsyncIO, FastAPI, PostgreSQL, and Docker.",3
"Graphic Designer with expert Photoshop, Illustrator, and Premiere Pro skills. Created brand guidelines and video animations.",Data Scientist needed to build deep learning models and predictive pipelines in Python and PyTorch.,14
